github_score,dsa_score,ats_score,projects_count,skills_match_ratio,frontend_exp,backend_exp,data_science_exp,devops_exp,placement_readiness,recommended_role
56.217808319315374,34.81063430708957,54.39381260547483,3,0.3059236907971637,2.510040988695911,2.149223348715777,4.330115953403124,2.1812222418215867,46.31779291680899,3
96.55000144869413,63.35207579026865,53.58383394895999,9,0.5058018015819667,2.9156391172643463,1.5322116827512149,0.8608434427632455,4.859754226299028,78.26869091022472,5
81.23957592679835,89.83566687011266,89.84400192865701,5,0.6954747633095291,2.894826601479022,4.811064550579723,4.252558259885333,0.18776160030022804,84.85760004333804,4
71.90609389379256,78.5779909127649,53.725040991722835,8,0.5635225235839623,0.27255963718913145,4.822441125119271,4.389236555082821,1.580023614331969,81.16502543457776,4
40.921304830970556,84.52489182891598,54.9572349370747,7,0.824151414786396,1.5702190345921623,1.4471818401501095,2.7471430614425802,1.5705490954468537,70.80268638215888,0
40.91961642353419,72.70266933685738,81.76690443298801,8,0.9980982578011084,2.495994734206659,2.3981254837222905,3.280895181113435,3.167320596178863,71.95186664134938,3
34.06585285177396,75.3821251614282,64.7356913347797,7,0.3529056707591175,1.0828959281362045,4.864220793300112,1.9111866000724569,0.5290017971206995,59.41454445223894,2
90.63233020424546,87.93565212522554,82.71908063253497,3,0.567720655727658,4.363129427429482,0.02434203827751613,1.4089582375463299,3.1427201543943055,80.97259921097847,1
72.07805082202461,39.97344070873488,43.59513866604119,2,0.5447871215366576,0.4355464473071702,2.0633912418957463,3.609915734758224,0.4752012032580971,54.90444728900113,3
79.56508044572318,59.15399709145124,66.81641565203614,7,0.44359402619916066,2.4369222083602144,0.5022877484048421,4.309375745079041,0.47476823709165505,68.96586398862742,3
31.440914600706172,37.69675534556818,41.84874801008054,3,0.3584764133762317,3.45708028756576,2.545789827813013,3.2703877647787376,3.6409167859424114,36.79108152065159,3
97.8936896513396,99.01344063973175,43.445926190044496,3,0.2525536931917274,1.308755500672412,0.12334977270243574,2.557953053232746,1.6206758691639815,77.81055484643231,1
88.27098485602951,95.52474717492906,89.85405993394261,2,0.9096954537789588,3.1212036849875906,2.0344921569531396,0.7946238342208578,4.887114738568739,86.53790805519289,5
44.863737747479334,23.154144909480472,47.65849541146773,4,0.5358789581490542,4.146925750711873,1.1034953739266755,0.2672935630240908,0.18676468217777464,38.46422648374449,1
